filename,chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zero_crossing_rate_mean,tempo,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,genre
blues.00000.au,0.3420528769493103,1782.6226818267398,2020.5563278887842,3845.075666600203,0.08011097919083526,123.046875,-125.18817138671875,120.22213745117188,-18.35881805419922,44.88731384277344,-5.4446611404418945,20.872966766357422,-13.772673606872559,16.822574615478516,-12.43834400177002,11.849509239196777,-8.861546516418457,9.301555633544922,-4.159668922424316,7.119119644165039,-5.663028240203857,0.5301030874252319,-2.8709959983825684,0.3060773015022278,-2.700369119644165,2.370232343673706,blues
blues.00001.au,0.3579999804496765,1364.2737657645605,1842.0304668582246,2976.3033484084976,0.05521090124709977,107.666015625,-221.9311981201172,131.1476287841797,0.4904683232307434,39.101951599121094,7.865722179412842,17.84226417541504,-6.045129299163818,22.623966217041016,-5.247427940368652,10.499155044555664,-3.123051404953003,6.9317426681518555,-1.8819948434829712,4.9514288902282715,-4.531080722808838,-0.4639619290828705,0.4978525936603546,0.03932558000087738,-1.0835758447647095,-0.11230867356061935,blues
blues.00002.au,0.382027268409729,1521.5568461335454,1736.7993883900097,3028.0629735535094,0.07018221613979118,151.99908088235293,-99.11202239990234,141.5541229248047,-25.73870277404785,34.46564483642578,-17.079191207885742,25.845569610595703,-13.173907279968262,10.728311538696289,-11.375273704528809,7.317138195037842,-12.9999361038208,4.544574737548828,-8.69522476196289,-2.315016508102417,-8.144970893859863,2.917832851409912,-6.660073757171631,-2.0392343997955322,-2.0452702045440674,-2.697335958480835,blues
blues.00003.au,0.39176511764526367,947.018873554784,1427.8362976162546,1863.9460375580047,0.030092172998839907,63.02400914634146,-214.46566772460938,156.58692932128906,2.785257339477539,26.750802993774414,4.9731011390686035,9.370925903320312,-1.334049940109253,10.199724197387695,2.4397177696228027,8.812752723693848,2.481811046600342,4.701362609863281,-2.364664077758789,-0.8664063811302185,-3.4220166206359863,-0.27301323413848877,0.23158477246761322,2.4375205039978027,1.284240484237671,-2.2002830505371094,blues
blues.00004.au,0.31645575165748596,2046.4278669806472,1858.4630445536686,4005.0258981656034,0.11638540458236658,135.99917763157896,-151.96717834472656,115.3404312133789,-31.880495071411133,23.762521743774414,-37.11351013183594,13.91818618774414,-23.040843963623047,4.602431297302246,-14.46025562286377,4.068373680114746,-16.674785614013672,-4.0822930335998535,-4.755990982055664,-7.974098205566406,-9.649985313415527,-2.1152596473693848,-8.198334693908691,-1.0599606037139893,-3.9006080627441406,-12.995133399963379,blues
blues.00005.au,0.31676194071769714,1795.6094055334015,1674.9754489952102,3319.4107091067285,0.09621633011890951,107.666015625,-192.28453063964844,123.23432159423828,-15.553627014160156,28.940793991088867,-23.013675689697266,12.881311416625977,-22.004119873046875,2.606428861618042,-9.702520370483398,0.05491790547966957,-11.882329940795898,-2.6574313640594482,-8.106194496154785,-9.547033309936523,-5.167343616485596,-3.2755322456359863,-1.7286792993545532,-2.8863134384155273,-2.6477396488189697,-8.1238374710083,blues
blues.00006.au,0.27101632952690125,1251.2732904530983,1291.3713607975221,2480.739910364704,0.055076085774361946,107.666015625,-231.62400817871094,137.20236206054688,-26.308639526367188,28.270071029663086,18.801387786865234,-1.8178130388259888,-18.936931610107422,-1.2193267345428467,-5.528738498687744,-8.207976341247559,-8.898857116699219,-3.1037850379943848,-6.429708957672119,-7.830541610717773,-5.333321571350098,-8.260010719299316,-9.776561737060547,-7.086094856262207,-5.599706172943115,-8.522002220153809,blues
blues.00007.au,0.32100412249565125,1342.8907186819984,1536.7581842978152,2732.668394721578,0.056027724405452436,92.28515625,-194.9209747314453,141.11109924316406,-25.503690719604492,35.2639274597168,11.7359037399292,12.656197547912598,-20.06729507446289,8.179672241210938,-10.890162467956543,-5.070580959320068,-6.236791133880615,-6.9466023445129395,-1.0950078964233398,-7.424980163574219,-8.356828689575195,-7.325397968292236,-10.38454818725586,-12.544004440307617,-6.049528121948242,-7.368905544281006,blues
blues.00008.au,0.39715883135795593,1734.1477080271293,2006.5278268354618,3742.5056758446926,0.0684330137035963,83.35433467741936,-115.71339416503906,123.82502746582031,-17.211688995361328,46.00648498535156,-8.161710739135742,21.095630645751953,-21.95999526977539,22.476829528808594,-12.446995735168457,22.170705795288086,-5.891055107116699,7.905634880065918,-13.450055122375488,4.585522651672363,-5.763946056365967,-1.7671772241592407,-7.531543254852295,3.3508784770965576,4.090073585510254,-2.558976650238037,blues
blues.00009.au,0.27819159626960754,1832.9530096709007,1966.4625625883066,3980.045384099478,0.08261469511310905,135.99917763157896,-203.58729553222656,117.89044952392578,-12.82381534576416,42.30998611450195,-20.177167892456055,17.11817741394043,-11.09494400024414,10.045700073242188,-15.210400581359863,4.52133846282959,-9.380331039428711,3.5377769470214844,-3.5800304412841797,-6.312283992767334,-2.6402692794799805,-3.019557237625122,-2.5171096324920654,-1.236374020576477,2.0848045349121094,-7.835508823394775,blues
